word,pos,primary_definition_en,primary_definition_ko,mw_definition_number,sat_meaning_en,sat_meaning_ko,skills,difficulties,occurrence_count
"contraction","noun","the act of making something smaller or shorter","무언가를 더 작거나 짧게 만드는 행위",2,"a shortened form of a word or group of words","단어 또는 단어 그룹의 축약형","Central Ideas and Details","Medium",1
"contribute","verb","to give or supply in common with others","다른 사람들과 함께 기여하거나 제공하다",2,"to give or add something (like effort or time) to a common cause","공통의 원인에 노력이나 시간을 기여하거나 추가하다","Form, Structure, and Sense","Easy",1
"control","noun","the power to influence or direct people's behavior or the course of events","사람들의 행동이나 사건의 경과를 영향을 미치거나 지배하는 힘",2,"a standard of comparison for checking or verifying the results of an experiment","실험 결과를 확인하거나 검증하기 위한 비교 기준","Inferences | Rhetorical Synthesis | Boundaries","Hard | Medium",3
"conveys","verb","to take or carry from one place to another","한 장소에서 다른 장소로 가져가거나 운반하다",2,"to communicate or make known","전달하거나 알리다","Words in Context","Medium",1
"corporate","adjective","of, relating to, or being a corporation","기업의, 법인의",2,"characteristic of a large company or organization","대기업이나 조직의 특성","Boundaries","Easy",1
"count","verb","to determine the total number of (units)","(단위)의 총 수를 결정하다",2,"to indicate or show (something) by counting","(무언가)를 세어 나타내다 또는 보여주다","Central Ideas and Details","Easy",1
"craft","verb","to make or produce with care or skill","정성이나 기술로 만들다",2,"to create or construct something in a specific way","특정한 방식으로 무언가를 만들거나 구성하다","Boundaries","Medium",1
"create","verb","to bring into existence","존재하게 하다",2,"to cause to happen or occur","발생하게 하다","Transitions | Form, Structure, and Sense | Command of Evidence | Text Structure and Purpose","Easy | Hard | Medium",7
"created","verb","to bring into existence","존재하게 하다",2,"to cause to happen or occur","발생하게 하다","Transitions","Easy",1
"credit","noun","approval or praise","승인 또는 칭찬",2,"a record of contributions or involvement","기여 또는 참여의 기록","Cross-Text Connections | Rhetorical Synthesis","Hard",2
"creep","verb","to move slowly and carefully","천천히 그리고 조심스럽게 움직이다",3,"to move in a stealthy or secretive manner","은밀하거나 비밀스럽게 움직이다","Text Structure and Purpose","Medium",1
"critics","noun","a person who expresses an unfavorable opinion of something","무언가에 대한 부정적인 의견을 표현하는 사람",2,"a person who evaluates or analyzes artistic works","예술 작품을 평가하거나 분석하는 사람","Form, Structure, and Sense","Hard",1
"crown","noun","the top part of the head","머리의 윗부분",2,"the upper part of a tree","나무의 윗부분","Rhetorical Synthesis","Medium",1
"crust","noun","the tough outer part of something","무언가의 단단한 바깥 부분",2,"a hard layer that forms on the surface of soil","토양 표면에 형성되는 단단한 층","Text Structure and Purpose","Medium",1
"culture","noun","the customary beliefs, social forms, and material traits of a racial, religious, or social group","인종, 종교 또는 사회 집단의 관습적인 신념, 사회적 형태 및 물질적 특성",2,"the set of shared attitudes, values, goals, and practices that characterizes an institution or organization","기관이나 조직을 특징짓는 공유된 태도, 가치, 목표 및 관행의 집합","Boundaries","Hard",1
"curiously","adverb","in a way that shows a strong desire to know or learn something","무언가를 알고 싶어하는 강한 욕구를 보이는 방식으로",3,"in a way that is strange or unusual","이상하거나 특이한 방식으로","Cross-Text Connections","Hard",1
"cycle","noun","a series of events that are regularly repeated in the same order","정기적으로 같은 순서로 반복되는 사건의 시리즈",2,"a sequence of phases or stages","일련의 단계 또는 단계","Form, Structure, and Sense","Medium",1
"damage","verb","to inflict physical harm on something","무언가에 신체적 피해를 주다",2,"to harm or impair in a non-physical sense, such as affecting growth or health","성장이나 건강에 영향을 미치는 비물리적 의미로 해를 끼치다","Command of Evidence","Hard",1
"dampen","verb","to make (something) less strong or intense","(무언가를) 덜 강하거나 강렬하게 만들다",2,"to lessen the intensity or effectiveness of something","무언가의 강도나 효과를 줄이다","Words in Context","Medium",1
"dance","noun","a series of rhythmic and patterned bodily movements","일련의 리드미컬하고 패턴화된 신체 움직임",2,"a social gathering for dancing","춤을 위한 사교 모임","Boundaries","Hard",1
"daring","adjective","adventurous or audaciously bold","모험적이거나 대담하게 대담한",2,"showing a willingness to take risks","위험을 감수하려는 의지를 보이는","Command of Evidence","Easy",1
"data","noun","facts or information used usually to calculate, analyze, or plan","계산, 분석 또는 계획에 일반적으로 사용되는 사실 또는 정보",2,"information collected for reference or analysis","참조 또는 분석을 위해 수집된 정보","Boundaries","Hard",1
"daunting","adjective","seeming difficult to deal with in anticipation; intimidating","예상하기에 다루기 어려운 것처럼 보이는; 위협적인",2,"causing one to lose courage; discouraging","용기를 잃게 하는; 낙담시키는","Inferences","Medium",1
"debris","noun","the remains of something broken down or destroyed","부서지거나 파괴된 것의 잔해",2,"scattered fragments, especially of something wrecked or destroyed","특히 파괴되거나 파손된 것의 흩어진 조각","Boundaries","Hard",1
"decisions","noun","a conclusion or resolution reached after consideration","고려 후에 도달한 결론 또는 결의",2,"the act of making a choice or judgment","선택이나 판단을 내리는 행위","Boundaries","Hard",1
"declare","verb","to make known formally or officially","공식적으로 알리다",2,"to announce or proclaim","선언하다","Transitions","Easy",1
"decline","verb","to refuse to accept","거절하다",2,"to formally reject or refuse to follow","정식으로 거부하거나 따르지 않다","Words in Context","Medium",1
"deconstruct","verb","to take apart (a structure)","구조물을 분해하다",2,"to analyze (a concept or work) in detail","개념이나 작업을 자세히 분석하다","Text Structure and Purpose","Easy",1
"decoupled","verb","to separate or disengage (something) from something else","(무언가를) 다른 것과 분리하다 또는 분리하다",2,"to eliminate the connection between two things","두 가지 사이의 연결을 없애다","Command of Evidence","Hard",1
"deface","verb","to spoil the surface or appearance of (something)","(무언가의) 표면이나 외관을 망치다",2,"to mar or disfigure the appearance of something","무언가의 외관을 손상시키거나 변형시키다","Rhetorical Synthesis","Medium",1
"default","noun","a failure to fulfill an obligation, especially to repay a loan or appear in a court of law","의무를 이행하지 않음, 특히 대출을 상환하지 않거나 법원에 출두하지 않음",2,"the preselected option or state that is automatically chosen in the absence of an alternative","대안이 없을 때 자동으로 선택되는 기본 옵션 또는 상태","Transitions","Hard",1
"define","verb","to state the meaning of (a word, phrase, etc.)","(단어, 구 등의) 의미를 설명하다",2,"to determine the essential qualities or characteristics of something","무언가의 본질적인 특성이나 특징을 결정하다","Rhetorical Synthesis","Hard",1
"definition","noun","a statement of the exact meaning of a word","단어의 정확한 의미에 대한 설명",2,"a statement of the essential nature of something","무언가의 본질적인 성격에 대한 설명","Rhetorical Synthesis","Medium",1
"demanding","adjective","requiring much effort or attention","많은 노력이나 주의를 요구하는",2,"requiring a high level of skill or effort","높은 수준의 기술이나 노력을 요구하는","Inferences","Hard",1
"denote","verb","to be a sign of; indicate","의미하다; 나타내다",2,"to serve as an indication of","의 표시로 작용하다","Rhetorical Synthesis","Hard",1
"dense","adjective","having a high density","높은 밀도를 가진",2,"closely packed together","밀접하게 포장된","Words in Context","Hard",1
"deny","verb","to declare untrue","거짓이라고 선언하다",2,"to refuse to admit the truth or existence of something","무언가의 진실이나 존재를 인정하기를 거부하다","Transitions","Easy",1
"dependent","adjective","determined or influenced by someone or something else","다른 사람이나 무언가에 의해 결정되거나 영향을 받는",2,"requiring support from something else","다른 것의 지원이 필요한","Boundaries","Medium",1
"depict","verb","to represent by or as if by painting","그림으로 표현하다",2,"to describe or portray in words","말로 묘사하다","Cross-Text Connections | Form, Structure, and Sense","Easy",2
"depiction","noun","the action of depicting something, especially in art","무언가를 묘사하는 행위, 특히 예술에서",2,"a representation or portrayal of something","무언가의 표현 또는 묘사","Boundaries","Hard",1
"depicts","verb","to represent by or as if by a picture","그림으로 표현하다",2,"to describe or portray in words","말로 묘사하다","Rhetorical Synthesis","Medium",1
"deplete","verb","to use up the supply or resources of","자원의 공급이나 자원을 다 써버리다",2,"to reduce the amount of something","무언가의 양을 줄이다","Cross-Text Connections","Hard",1
"derive","verb","to receive or obtain from a source","출처로부터 받거나 얻다",2,"to come from a particular source or origin","특정 출처나 기원에서 유래하다","Command of Evidence","Hard",1
"design","noun","a plan or drawing produced to show the look and function or workings of a building, garment, or other object","건물, 의복 또는 기타 물체의 모양과 기능 또는 작동을 보여주기 위해 제작된 계획 또는 도면",2,"the arrangement of elements in a work of art or a plan for a project","예술 작품의 요소 배열 또는 프로젝트에 대한 계획","Words in Context | Form, Structure, and Sense","Medium | Easy",2
"designer","noun","a person who designs clothing or accessories","의류나 액세서리를 디자인하는 사람",2,"a person who creates or plans something in a particular field","특정 분야에서 무언가를 창조하거나 계획하는 사람","Boundaries","Medium",1
"desirous","adjective","having a desire or wish for something","무언가에 대한 욕망이나 소망이 있는",2,"having a strong desire or longing for something","무언가에 대한 강한 욕망이나 갈망이 있는","Central Ideas and Details","Medium",1
"despite","preposition","without being affected by; in defiance of","영향을 받지 않고; 무시하고",2,"in spite of","~에도 불구하고","Form, Structure, and Sense","Hard",1
"detailed","adjective","having many details or facts; full of detail","세부 사항이나 사실이 많은; 세부 사항이 가득한",2,"having a lot of information or complexity","많은 정보나 복잡성을 가진","Inferences","Easy",1
"detect","verb","to discover or identify the presence of (something)","(무엇인가의) 존재를 발견하다 또는 확인하다",2,"to discover or determine the existence, presence, or fact of something","무엇인가의 존재, 존재 또는 사실을 발견하거나 결정하다","Central Ideas and Details","Medium",1
"determine","verb","to decide or settle conclusively and authoritatively","결정하다, 정하다",2,"to find out or ascertain something","무언가를 알아내다","Boundaries | Inferences","Easy | Medium",3
"device","noun","a piece of equipment or a mechanism designed to serve a special purpose","특별한 목적을 위해 설계된 장비 또는 기계의 일부",2,"a plan or scheme for achieving a particular purpose","특정 목적을 달성하기 위한 계획 또는 방안","Command of Evidence","Medium",1
"devour","verb","to eat (food) eagerly and in large amounts","음식을 열심히 많이 먹다",2,"to take in eagerly or enthusiastically","열심히 또는 열광적으로 받아들이다","Central Ideas and Details","Easy",1
"dialect","noun","a particular form of a language that is peculiar to a specific region or social group","특정 지역이나 사회 집단에 고유한 언어의 특정 형태",2,"a variation in speech patterns or sounds within a language","언어 내에서의 발음 패턴이나 소리의 변형","Inferences","Medium",1
"dictate","verb","to say or read aloud something to be recorded","무언가를 기록하기 위해 말하거나 읽다",2,"to prescribe or lay down authoritatively","권위 있게 규정하거나 정하다","Words in Context","Hard",1
"difficult","adjective","hard to do, make, or carry out","하기, 만들기 또는 수행하기 어려운",2,"not easy to understand or interpret","이해하거나 해석하기 쉽지 않은","Words in Context","Hard",1
"direction","noun","the path along which something moves or points","무언가가 움직이거나 가리키는 경로",2,"a course along which someone or something moves","누군가 또는 무언가가 움직이는 경로","Boundaries","Hard",1
"dismantle","verb","to take apart","분해하다",2,"to destroy the integrity or functioning of something","무언가의 완전성이나 기능을 파괴하다","Boundaries","Hard",1
"displace","verb","to remove from the usual or proper place","일반적이거나 적절한 장소에서 제거하다",2,"to take the place of","대신하다","Central Ideas and Details","Medium",1
"disputed","verb","to argue about; to question the truth or validity of something","논쟁하다; 무언가의 진실성이나 유효성을 의문시하다",2,"to challenge the validity or truth of something","무언가의 유효성이나 진실성을 도전하다","Rhetorical Synthesis","Hard",1
"disputing","verb","to argue about (something)","(무엇에 대해) 논쟁하다",2,"to engage in a debate or discussion about something","무언가에 대해 토론하거나 논의하다","Words in Context","Hard",1
"dissolve","verb","to make (a solid) disappear in a liquid","고체를 액체에 녹이다",2,"to cause to disappear or to be absorbed","사라지게 하거나 흡수되게 하다","Boundaries","Hard",1
"distorted","adjective","twisted out of shape","형태가 비틀린",2,"misrepresented or altered in a way that affects understanding","이해에 영향을 미치는 방식으로 잘못 표현되거나 변경된","Text Structure and Purpose","Easy",1
"disturb","verb","to interfere with the normal arrangement or functioning of","정상적인 배열이나 기능을 방해하다",2,"to upset or disrupt the normal state of something","무언가의 정상 상태를 혼란스럽게 하거나 방해하다","Central Ideas and Details","Hard",1
"divided","adjective","separated into parts or pieces","부분이나 조각으로 나뉜",2,"characterized by disagreement or disunity","불일치 또는 분열의 특성을 가진","Command of Evidence","Hard",1
"documented","verb","to create a record of","기록을 만들다",2,"to provide evidence or support for something","무언가에 대한 증거 또는 지원을 제공하다","Text Structure and Purpose","Easy",1
"domesticated","adjective","tamed and kept as a pet or farm animal","애완동물이나 농장 동물로 길들여지고 기르는",2,"adapted or modified for human use or companionship","인간의 사용이나 동반을 위해 적응되거나 수정된","Transitions","Medium",1
"dominant","adjective","most important, powerful, or influential","가장 중요하거나 강력하거나 영향력 있는",2,"most prevalent or noticeable","가장 두드러지거나 눈에 띄는","Command of Evidence","Medium",1
"dormant","adjective","not active or growing","활동하지 않거나 성장하지 않는",2,"in a state of rest or inactivity","휴식 또는 비활동 상태","Form, Structure, and Sense","Easy",1
"downplaying","verb","to make (something) seem less important","(무엇인가를) 덜 중요하게 만들다",2,"to minimize the significance or seriousness of something","무엇인가의 중요성이나 심각성을 최소화하다","Transitions","Easy",1
"drama","noun","a composition in prose or verse presenting a story involving conflict or contrast of character","갈등이나 성격의 대립을 포함하는 이야기의 산문 또는 운문 구성",2,"a situation or series of events having vivid, emotional, conflicting, or striking interest","생생하고 감정적이며 대립적이거나 인상적인 관심을 가진 상황이나 사건의 연속","Boundaries","Hard",1
"draw","verb","to produce a picture or diagram by making lines on a surface","표면에 선을 그려 그림이나 도표를 만드는 것",2,"to bring out or evoke a response or connection","반응이나 연결을 이끌어내다","Central Ideas and Details | Command of Evidence | Transitions","Easy | Hard | Medium",3
"dry","adjective","free from moisture or liquid; not wet","습기나 액체가 없는; 젖지 않은",2,"lacking in interest or excitement; dull","흥미나 흥분이 결여된; 지루한","Text Structure and Purpose","Medium",1
"dub","verb","to give a name to","이름을 붙이다",2,"to describe or characterize in a particular way","특정한 방식으로 설명하거나 특징짓다","Text Structure and Purpose","Hard",1
"dull","adjective","lacking interest or excitement","흥미나 흥분이 부족한",3,"lacking sharpness or clarity","날카로움이나 명확성이 부족한","Central Ideas and Details","Medium",1
"dye","verb","to color (a material) by soaking it in a solution","물질을 용액에 담가 색을 입히다",2,"to change the color of something, especially fabric, using a specific method or process","특정 방법이나 과정을 사용하여 무언가의 색을 변경하다","Rhetorical Synthesis","Medium",1
"earthenware","noun","a type of pottery made from clay that is fired at a low temperature","저온에서 구워진 점토로 만든 도자기 종류",2,"pottery that is primarily decorative rather than functional","주로 기능적이지 않고 장식적인 도자기","Transitions","Easy",1
"effect","noun","a change that is a result or consequence of an action or other cause","행동이나 다른 원인의 결과로 나타나는 변화",3,"a force that brings about a result","결과를 가져오는 힘","Command of Evidence | Inferences","Hard",2
"effective","adjective","producing a desired result","원하는 결과를 생성하는",2,"having a significant impact or influence","중요한 영향이나 효과가 있는","Words in Context","Medium",1
"effectual","adjective","producing or capable of producing an intended effect","의도한 효과를 생성하거나 생성할 수 있는",2,"having the power to produce a desired result","원하는 결과를 생성할 수 있는 힘이 있는","Central Ideas and Details","Easy",1
"efficiency","noun","the quality of being efficient; effectiveness","효율적인 품질; 효과성",2,"the ratio of useful output to total input in any system","어떤 시스템에서 유용한 출력과 총 입력의 비율","Command of Evidence","Medium",1
"elite","adjective","the choice part","선택된 부분",2,"a group of people considered to be the best in a particular society or category","특정 사회나 범주에서 가장 우수하다고 여겨지는 사람들 그룹","Text Structure and Purpose","Medium",1
"embarrassed","adjective","feeling or showing embarrassment","당혹감을 느끼거나 보이는",2,"in a difficult or complicated situation","어려운 상황에 처한","Central Ideas and Details","Medium",1
"emit","verb","to give off or send out (as in light or heat)","빛이나 열을 방출하다",2,"to produce and discharge (as in radiation)","(방사선과 같은 것을) 생성하고 방출하다","Form, Structure, and Sense","Easy",1
"emphasize","verb","to give special importance or prominence to something in speaking or writing","말하거나 글에서 무언가에 특별한 중요성이나 두드러짐을 주다",3,"to place importance on something in a way that may distort its actual significance","무언가의 실제 중요성을 왜곡할 수 있는 방식으로 중요성을 두다","Cross-Text Connections","Hard",1
"employ","verb","to make use of","사용하다",2,"to make use of for a specific purpose","특정 목적을 위해 사용하다","Transitions","Easy | Medium",2
"employed","verb","to make use of","사용하다",2,"to engage or involve (a resource or method)","(자원이나 방법을) 사용하다 또는 포함하다","Central Ideas and Details","Hard",1
"enable","verb","to make (someone or something) able to do or to be something","(누군가 또는 무언가가) 할 수 있도록 하다",2,"to provide with the means or opportunity","수단이나 기회를 제공하다","Form, Structure, and Sense","Easy",1
"enabled","verb","to make (someone or something) able to do something","(누군가 또는 무언가가) 무언가를 할 수 있게 하다",2,"to provide the means or opportunity for something to happen","무언가가 발생할 수 있는 수단이나 기회를 제공하다","Rhetorical Synthesis","Easy",1
"encompassing","verb","to surround or cover completely","완전히 둘러싸거나 덮다",2,"to include or contain","포함하다 또는 포함하다","Transitions","Easy",1
"endure","verb","to remain in existence; to last","지속되다, 살아남다",2,"to tolerate or bear something difficult with patience","견디다, 참다","Words in Context","Hard",1
"engage","verb","to participate or become involved in","참여하다 또는 관련되다",2,"to attract and hold the attention of","관심을 끌고 유지하다","Inferences | Rhetorical Synthesis","Hard | Medium",2
"enhance","verb","to increase or improve in value, quality, or attractiveness","가치, 품질 또는 매력을 증가시키거나 개선하다",2,"to make (something) more attractive or appealing","(무언가를) 더 매력적이거나 호소력 있게 만들다","Form, Structure, and Sense","Hard",1
"entice","verb","to attract artfully or adroitly or by arousing hope or desire","예술적으로 또는 능숙하게 또는 희망이나 욕망을 불러일으켜 끌어들이다",2,"to attract or tempt by offering pleasure or advantage","즐거움이나 이점을 제공하여 끌어들이다","Command of Evidence","Medium",1
"escape","noun","an act of breaking free from confinement or control","구속이나 통제에서 벗어나는 행위",2,"a means of avoiding something unpleasant or undesirable","불쾌하거나 바람직하지 않은 것을 피하는 수단","Command of Evidence","Medium",2
"establish","verb","to set up or lay the groundwork for","설립하다 또는 기초를 놓다",2,"to make something a reality or to confirm its existence","무언가를 현실로 만들거나 그 존재를 확인하다","Command of Evidence | Text Structure and Purpose","Hard | Medium",2
"establishment","noun","a business organization or place","사업 조직 또는 장소",2,"a place or organization that has been established","설립된 장소 또는 조직","Form, Structure, and Sense","Easy",1
"esteemed","adjective","regarded with respect or admiration","존경받는",3,"having a high regard or reputation","높은 평가나 명성을 가진","Cross-Text Connections","Hard",1
"event","noun","a significant occurrence or happening","중요한 사건이나 발생",2,"a particular occurrence or happening, especially one that is noteworthy","특히 주목할 만한 특정 발생이나 사건","Words in Context | Boundaries","Hard",2
"evidence","noun","the available body of facts or information indicating whether a belief or proposition is true or valid","믿음이나 주장이 사실인지 유효한지를 나타내는 가용한 사실이나 정보의 집합",2,"something that furnishes proof","증거를 제공하는 것","Words in Context | Form, Structure, and Sense","Hard | Easy",2
"evince","verb","to show clearly","명확하게 보여주다",2,"to reveal the presence of (a quality or feeling)","(특정한 성질이나 감정을) 드러내다","Text Structure and Purpose","Hard",1
"evoke","verb","to bring (a memory, feeling, image, etc.) into the mind","(기억, 감정, 이미지 등을) 마음에 불러일으키다",2,"to call forth or bring out","불러일으키다 또는 드러내다","Form, Structure, and Sense","Easy",1
"examine","verb","to look at closely","자세히 살펴보다",2,"to investigate or study in detail","자세히 조사하다","Transitions","Medium",1
"example","noun","a representative form or pattern","대표적인 형태나 패턴",2,"a part or piece of something that is representative of the whole","전체를 대표하는 일부 또는 조각","Boundaries","Easy",1
"exchange","noun","the act of giving or taking one thing in return for another","하나의 것을 다른 것으로 주거나 받는 행위",2,"the act of replacing or substituting something","무언가를 대체하거나 교체하는 행위","Form, Structure, and Sense","Easy",1
"exclusion","noun","the act of excluding or the state of being excluded","배제의 행위 또는 배제된 상태",2,"the act of not allowing something to be included or considered","무언가가 포함되거나 고려되는 것을 허용하지 않는 행위","Command of Evidence","Medium",1
"exert","verb","to put forth or bring to bear (as effort or energy)","노력이나 에너지를 발휘하다",2,"to apply or use (force, influence, etc.)","(힘, 영향 등을) 적용하다 또는 사용하다","Transitions","Easy",1
"exhibited","verb","to show or display","보여주다 또는 전시하다",2,"to manifest or reveal a quality or trait","특성이나 특질을 드러내다","Text Structure and Purpose","Hard",1
"expanded","verb","to increase in size, volume, quantity, or scope","크기, 부피, 수량 또는 범위를 증가시키다",2,"to broaden or develop in a more abstract sense","보다 추상적인 의미에서 넓히거나 발전시키다","Boundaries","Hard",1
"experience","noun","the process of doing and seeing things and of having things happen to you","일어나고 있는 일을 보고 경험하는 과정",2,"the particular event or occurrence that one undergoes","한 사람이 겪는 특정한 사건이나 발생","Inferences","Hard",1
"explored","verb","to travel through (an unfamiliar area) in order to learn about it","(낯선 지역을) 탐험하다",2,"to examine or consider (something) in detail","(무언가를) 자세히 조사하거나 고려하다","Boundaries","Easy",1
"exposed","verb","to make (something) visible by uncovering it","(무엇인가를) 드러내다",2,"to be subjected to (something harmful or unpleasant)","(해롭거나 불쾌한 것에) 노출되다","Command of Evidence","Medium",1
"express","verb","to convey in words","말로 전달하다",2,"to make known (a feeling or thought)","(감정이나 생각을) 알리다","Command of Evidence","Hard",1
"fact","noun","a thing that is indisputably the case","사실",2,"a noteworthy or significant aspect","주목할 만한 또는 중요한 측면","Words in Context","Medium",1
"fall","verb","to drop down from a higher place to a lower place","더 높은 곳에서 더 낮은 곳으로 떨어지다",2,"to come down freely under the influence of gravity","중력의 영향을 받아 자유롭게 내려오다","Form, Structure, and Sense","Hard",1
"familiarity","noun","the state of being familiar; close acquaintance","친숙한 상태; 가까운 친밀감",2,"the quality of being well-acquainted or knowledgeable about something","어떤 것에 대해 잘 알고 있거나 친숙한 품질","Inferences","Medium",1
"far","adjective","to a great extent","매우, 많이",2,"to a great degree or extent","매우, 많이","Boundaries | Form, Structure, and Sense","Hard",2
"fasten","verb","to attach or secure something","무언가를 부착하거나 고정하다",2,"to make secure or firm","안전하게 하거나 단단하게 하다","Text Structure and Purpose","Hard",1
"feasible","adjective","capable of being done or carried out","실행 가능하다",2,"capable of being done or achieved; practical","실행 가능하거나 성취할 수 있는; 실용적인","Rhetorical Synthesis","Medium",1
"feature","verb","to have as a prominent attribute or aspect","주요 속성이나 측면으로 가지다",2,"to present or include as a part of something","무언가의 일부로 제시하거나 포함하다","Words in Context | Command of Evidence | Form, Structure, and Sense","Medium | Easy | Hard",3
"featured","verb","to make (someone or something) the most important or prominent part","(누군가 또는 무언가를) 가장 중요하거나 두드러진 부분으로 만들다",2,"to have (someone or something) as a prominent part","(누군가 또는 무언가를 두드러진 부분으로 가지다)","Boundaries","Hard",1
"fellow","noun","a man or boy","남자 또는 소년",2,"a person of a specified kind","특정 종류의 사람","Text Structure and Purpose","Medium",1
"few","adjective","not many","많지 않은",2,"a small number of","소수의","Words in Context | Transitions","Hard | Easy",2
"field","noun","an area of open land","개방된 땅의 영역",2,"a particular branch of study or activity","특정 학문 또는 활동의 분야","Text Structure and Purpose | Central Ideas and Details","Hard | Medium",2
"figure","noun","a numerical symbol or a shape","숫자 기호 또는 형태",2,"a person or representation of a person","사람 또는 사람의 표현","Inferences","Medium",1
"finally","adverb","at the end or after a long time","마침내 또는 오랜 시간 후에",2,"used to introduce the last point in a series","일련의 마지막 요점을 소개하는 데 사용","Transitions","Easy",1
"find","verb","to discover or perceive by chance","우연히 발견하다",2,"to identify or recognize as being present","존재하는 것으로 식별하거나 인식하다","Form, Structure, and Sense","Medium",1
"findings","noun","the results of an investigation or experiment","조사나 실험의 결과",2,"the information or data obtained from research or study","연구나 학습을 통해 얻은 정보 또는 데이터","Form, Structure, and Sense","Easy",1
"first","adjective","1. coming before all others in time or order","첫 번째, 최초의",3,"being the primary or most important","주요한 또는 가장 중요한","Command of Evidence","Hard",1
"fit","verb","to be of the right shape and size for someone or something","누군가 또는 무언가에 맞는 모양과 크기이다",2,"to adjust or adapt something to meet specific requirements","특정 요구 사항을 충족하도록 조정하거나 적응하다","Transitions | Text Structure and Purpose","Hard | Medium",2
"flake","noun","a small, thin piece of something","작고 얇은 조각",2,"a small, thin piece of snow that falls from the sky","하늘에서 떨어지는 작고 얇은 눈 조각","Form, Structure, and Sense","Medium",1
"flare","noun","a sudden burst of light or flame","갑작스러운 빛이나 불꽃의 폭발",2,"a sudden burst of activity or intensity","활동이나 강도의 갑작스러운 폭발","Words in Context","Hard",1
"flat","adjective","having a smooth, even surface","매끄럽고 고른 표면을 가진",3,"lacking depth or dimension","깊이나 차원이 결여된","Words in Context","Hard",1
"flexible","adjective","capable of being bent or flexed without breaking","부러지지 않고 구부릴 수 있는",2,"easily influenced or changed","쉽게 영향을 받거나 변화하는","Rhetorical Synthesis","Hard",1
"flipping","verb","to turn over or cause to turn over","뒤집다",3,"to change the orientation or arrangement of something","무언가의 방향이나 배열을 변경하다","Transitions","Medium",1
"float","verb","to rest or move on or near the surface of a liquid without sinking","액체의 표면에 가라앉지 않고 떠 있거나 이동하다",3,"to move or drift in a relaxed or easy manner","편안하거나 수월한 방식으로 이동하거나 떠다니다","Central Ideas and Details","Medium",1
"flourish","verb","to grow or develop in a healthy or vigorous way","건강하거나 활발하게 성장하거나 발전하다",2,"to achieve success or prominence","성공이나 두각을 나타내다","Transitions","Medium",1
"focus","verb","to concentrate attention or effort","집중하다",2,"to direct attention or interest","관심이나 주의를 향하다","Text Structure and Purpose","Easy",1
"fold","noun","a form or shape produced by folding","접힌 형태 또는 모양",2,"a pen or enclosure for animals","동물을 위한 우리 또는 울타리","Text Structure and Purpose","Medium",1
"force","verb","to make (someone) do something against their will","(누군가가) 원하지 않는 일을 하게 하다",2,"to compel or coerce someone into action","누군가를 행동하도록 강요하거나 압박하다","Cross-Text Connections | Form, Structure, and Sense | Transitions","Easy | Medium",3
"form","noun","the visible shape or configuration of something","무언가의 가시적인 형태 또는 구성",2,"the particular way in which a thing exists or appears","사물이 존재하거나 나타나는 특정한 방식","Boundaries","Easy",1
"formation","noun","the action of forming or process of being formed","형성의 행위 또는 형성되는 과정",2,"a structure or arrangement of something","무언가의 구조 또는 배열","Central Ideas and Details","Medium",1
"foster","verb","to bring up (a child)","아이를 기르다",2,"to promote the growth or development of something","무언가의 성장이나 발전을 촉진하다","Command of Evidence","Easy",1
"found","verb","to come upon often by accident","우연히 발견하다",2,"to establish or lay the groundwork for","기초를 세우다","Boundaries | Transitions","Hard | Medium",2
"founded","verb","to establish or set up","설립하다 또는 세우다",2,"to create or initiate an organization or movement","조직이나 운동을 창설하거나 시작하다","Transitions","Medium",1
"frame","verb","to construct or put together","구성하다 또는 조립하다",2,"to shape or influence","형성하거나 영향을 미치다","Form, Structure, and Sense","Hard",1
"framing","verb","to construct or formulate (as a plan or a concept)","계획이나 개념을 구성하거나 형성하다",2,"to present or express in a particular way","특정한 방식으로 제시하거나 표현하다","Command of Evidence","Hard",1
"frankness","noun","the quality of being open, honest, and direct in speech or writing","말이나 글에서 솔직하고 정직하며 직접적인 품질",2,"the quality of being blunt or outspoken, often to the point of causing discomfort","불편함을 초래할 정도로 직설적이거나 솔직한 품질","Central Ideas and Details","Medium",1
"fruits","noun","the sweet and fleshy product of a tree or other plant that contains seed and can be eaten as food","나무나 다른 식물의 씨앗을 포함하고 먹을 수 있는 달고 육즙이 많은 제품",3,"the results or rewards of work or activity","일이나 활동의 결과 또는 보상","Rhetorical Synthesis","Medium",1
"frying","adjective","cooked in hot fat or oil","뜨거운 기름이나 지방으로 조리된",2,"used to describe a specific type of cooking method","특정한 조리 방법을 설명하는 데 사용됨","Transitions","Hard",1
"fuel","verb","to provide with fuel","연료를 공급하다",3,"to stimulate or incite (as in growth or development)","(성장이나 발전을) 자극하거나 유도하다","Central Ideas and Details","Medium",1
"function","noun","the natural purpose (of something)","(무언가의) 자연스러운 목적",2,"an activity or role assigned to something","무언가에 할당된 활동 또는 역할","Text Structure and Purpose | Inferences","Hard | Medium",2
"functional","adjective","designed to be practical and useful","실용적이고 유용하도록 설계된",2,"having a special activity or purpose","특별한 활동이나 목적이 있는","Central Ideas and Details","Medium",1
"functionless","adjective","having no function or purpose","기능이나 목적이 없는",2,"not serving a practical purpose or role","실용적인 목적이나 역할을 하지 않는","Words in Context","Hard",1
